Points,O.Points,Assists,O.Assists,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,OffensiveRebounds,O.OffensiveRebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,TwoPointersMade,TwoPointersAttempted,O.TwoPointersMade,O.TwoPointersAttempted
85,88,21,16,7,6,27,32,21,15,18,27,14,21,8,14,2,4,24,10,7,3,6,7,25,51,29,68
118,90,28,11,3,5,40,26,22,24,28,30,22,18,12,9,9,13,21,17,6,8,21,16,39,63,24,65
127,102,32,22,7,4,35,33,19,21,22,22,19,20,15,13,6,7,31,15,14,4,13,14,33,64,35,76
102,87,19,18,9,4,27,16,22,21,19,18,15,17,17,12,8,13,8,23,3,6,23,19,39,68,26,60
76,96,16,24,7,5,26,25,19,18,21,21,15,19,11,10,7,5,11,15,3,5,15,11,26,60,31,63
102,94,22,23,2,4,28,27,19,28,28,18,23,15,11,11,5,6,16,21,3,9,11,16,35,65,26,61
121,94,29,22,5,5,33,23,24,25,31,28,19,22,10,6,7,6,13,6,6,4,12,17,42,65,30,67
95,91,22,26,5,5,37,29,15,18,16,13,9,10,12,8,3,5,24,11,10,3,12,6,28,59,36,74
96,98,23,17,5,4,26,21,28,21,24,42,22,39,10,9,7,10,19,9,8,3,20,12,25,50,25,59
102,113,17,18,2,6,27,27,18,25,39,21,26,17,20,7,6,8,17,20,4,14,16,10,32,64,27,64
89,105,24,20,6,3,26,29,19,21,23,17,14,11,5,20,9,8,19,15,3,6,17,15,33,54,38,77
96,98,28,20,3,5,28,27,27,25,33,29,16,23,17,12,9,6,15,27,4,11,19,20,34,68,21,50
94,80,25,12,6,4,35,24,21,19,17,26,13,19,13,10,9,7,16,8,7,1,18,14,30,61,29,65
90,84,26,21,9,4,35,33,18,22,23,15,17,11,5,15,10,7,13,23,3,11,15,18,32,65,20,66
91,93,17,24,3,6,36,42,22,25,31,23,25,15,7,6,4,5,21,14,6,6,12,17,24,62,30,69
82,92,13,23,3,8,29,32,16,23,22,14,16,9,7,12,7,12,14,17,4,7,14,12,27,60,31,63
157,161,37,43,3,5,40,28,29,28,31,27,27,22,10,11,2,10,21,31,10,17,17,12,50,86,44,86
62,92,13,17,4,4,32,41,20,23,19,16,14,14,14,10,8,8,11,16,2,4,20,14,21,70,33,68
100,94,23,19,1,3,23,26,26,18,20,27,13,21,10,14,8,2,20,15,5,5,14,19,36,57,29,56
93,90,22,23,12,3,37,34,16,21,27,16,18,12,6,7,10,8,18,21,5,8,16,14,30,56,27,60
111,116,24,32,2,6,21,36,23,18,24,24,18,21,17,4,8,6,23,20,9,9,11,19,33,75,34,51
106,95,29,16,4,5,33,21,17,22,25,23,20,18,9,14,6,11,19,14,8,5,19,15,31,51,31,69
83,87,18,16,4,4,27,29,19,24,34,20,22,13,7,9,8,6,13,12,3,6,13,13,26,52,28,60
123,107,33,25,9,6,29,23,28,23,29,28,22,21,10,16,5,5,17,16,9,4,13,13,37,68,37,74
108,95,19,16,9,8,26,24,24,29,37,33,26,24,13,11,12,11,22,9,8,3,16,16,29,53,31,67
98,113,27,17,2,4,28,27,23,16,19,30,16,24,6,11,6,10,14,22,6,9,15,10,32,63,31,58
111,82,31,17,4,4,36,26,13,18,16,16,11,8,8,9,7,4,24,4,10,2,6,10,35,61,34,77
94,74,23,13,3,2,30,29,22,21,27,26,21,15,10,11,14,5,13,13,3,3,18,26,32,64,25,59
110,103,19,22,6,2,26,26,24,21,22,31,20,23,10,14,8,4,13,16,6,4,13,16,36,69,34,61
81,91,16,25,1,7,33,34,20,24,23,21,17,19,11,7,5,10,13,18,4,4,16,12,26,63,30,59
107,75,26,14,11,3,50,26,22,23,28,28,20,16,7,8,5,11,19,14,9,5,22,12,30,55,22,69
82,89,15,20,2,4,32,33,20,24,34,28,21,23,7,7,10,12,16,4,5,2,18,18,23,50,30,66
115,107,31,18,4,0,29,23,16,20,12,12,8,9,17,12,5,3,17,15,7,6,14,10,43,72,40,74
86,84,20,21,3,11,22,23,18,17,20,21,12,14,23,8,8,4,9,8,0,2,11,14,37,74,32,57
105,90,22,15,7,2,32,21,24,24,22,28,18,21,19,20,8,11,13,15,5,3,22,19,36,70,30,71
90,92,22,18,5,3,38,27,24,25,26,33,18,26,15,13,6,5,23,15,6,4,14,11,27,55,27,65
101,80,29,18,3,3,33,31,22,21,13,24,11,16,9,7,9,8,28,18,8,4,15,18,33,55,26,52
109,114,20,19,5,12,21,34,24,26,38,38,27,30,16,5,9,6,26,17,12,8,10,14,23,62,30,52
84,114,22,30,8,1,27,36,15,18,15,20,13,17,6,11,5,9,17,18,5,5,13,10,28,64,41,69
117,92,25,15,4,3,25,25,25,28,38,31,29,23,4,16,5,2,8,17,2,5,12,25,41,67,27,60
106,99,25,28,3,1,28,28,19,27,17,20,12,13,14,5,10,9,18,23,8,12,17,19,35,70,25,49
83,93,16,13,2,6,24,43,25,26,25,31,19,24,10,13,7,2,23,15,6,7,5,17,23,60,24,58
117,115,23,25,1,6,31,26,24,24,33,28,28,24,12,11,7,2,21,26,7,11,11,13,34,64,29,58
106,91,24,17,2,5,26,15,15,24,31,13,26,8,8,6,8,7,15,18,8,9,18,16,28,48,28,54
81,103,20,26,2,2,26,27,19,23,23,21,17,18,11,5,7,10,8,15,0,7,16,9,32,63,32,60
99,77,21,22,3,1,39,32,14,22,27,5,20,3,3,5,8,7,12,21,3,4,18,18,35,63,31,60
95,89,21,19,5,0,28,23,14,18,20,13,14,10,8,18,5,5,12,21,1,7,7,10,39,61,29,63
101,79,24,8,4,8,34,20,28,27,27,32,23,24,8,6,6,8,7,20,2,3,14,14,36,72,23,49
90,97,17,17,4,7,30,34,19,27,32,20,17,17,23,7,6,9,16,17,3,6,13,19,32,74,31,60
89,103,18,25,1,7,29,29,23,18,21,27,11,23,13,7,7,8,12,16,2,4,17,16,36,72,34,58
105,92,31,27,4,3,32,28,21,18,13,21,10,17,12,10,10,9,30,20,15,9,18,20,25,54,24,54
79,81,19,16,4,2,25,26,19,31,30,21,25,20,12,7,6,8,8,18,2,5,20,21,24,61,23,46
94,93,27,24,0,5,24,27,15,18,25,17,23,12,9,13,10,10,13,6,1,1,17,19,34,60,39,72
87,100,18,28,8,6,26,36,22,24,21,26,14,19,10,10,14,10,13,18,3,7,17,21,32,73,30,57
94,102,15,27,4,4,32,30,22,20,31,18,21,14,10,8,4,10,27,22,7,8,20,16,26,46,32,62
126,113,33,26,5,3,32,29,24,27,36,41,25,33,12,14,10,9,27,32,15,10,12,14,28,54,25,50
99,84,30,21,7,6,30,35,18,16,16,17,12,13,15,13,13,7,25,10,9,3,10,18,30,67,31,71
104,101,23,32,3,3,29,25,17,24,35,20,27,13,12,14,9,6,11,14,5,6,16,12,31,64,35,74
86,105,21,30,4,3,23,28,20,26,40,23,29,16,12,10,7,6,13,13,3,7,14,13,24,54,34,67
79,85,18,17,3,10,22,30,25,22,12,25,8,19,9,11,4,6,19,12,7,4,16,18,25,55,27,53
89,99,16,22,3,5,28,38,21,21,25,25,19,21,13,8,6,6,19,26,4,10,9,15,29,64,24,45
94,82,16,16,3,5,33,21,23,25,34,31,23,25,15,11,11,5,19,15,5,5,13,15,28,55,21,54
84,91,10,14,0,8,23,32,21,23,23,26,18,22,20,7,7,7,12,17,2,7,14,14,30,73,24,49
110,101,23,14,7,1,32,19,28,27,33,41,28,31,7,12,8,9,11,20,4,6,19,14,35,54,26,53
108,95,31,26,2,4,25,19,23,24,30,34,22,22,15,15,11,10,22,15,10,5,16,18,28,55,29,57
101,90,18,14,6,6,31,27,21,22,24,27,22,24,10,13,4,5,15,16,5,6,10,10,32,63,24,61
81,101,13,25,4,5,36,36,24,25,34,34,23,21,10,6,8,8,5,16,0,6,15,12,29,68,31,55
95,82,18,18,3,3,26,28,16,14,18,20,15,15,6,11,13,5,15,11,8,1,14,21,28,58,32,59
120,91,26,21,4,3,28,28,20,25,26,20,23,16,11,10,8,6,28,10,9,1,12,20,35,60,36,72
99,89,17,16,5,9,28,30,17,24,34,23,28,15,14,8,14,4,14,10,5,6,10,23,28,67,28,59
77,103,17,26,1,6,23,33,16,19,17,22,11,16,10,11,6,6,7,19,2,7,14,14,30,72,33,61
109,107,24,30,7,4,27,35,19,23,35,19,27,16,6,18,6,5,21,29,6,11,15,20,32,59,29,67
117,111,24,22,8,3,39,28,26,31,41,34,35,16,20,15,7,14,25,18,8,9,16,15,29,63,34,71
106,84,27,16,7,0,34,25,18,19,13,20,10,18,11,15,8,7,16,16,6,4,15,18,39,67,27,69
119,114,33,26,1,4,31,25,20,24,30,31,25,22,6,11,5,7,25,18,10,6,16,7,32,50,37,70
88,97,13,20,6,8,21,29,20,29,38,25,36,18,8,8,12,10,17,12,4,3,19,18,20,48,35,59
97,98,27,18,9,2,32,28,29,27,31,34,24,29,12,12,6,8,19,15,5,5,16,13,29,54,27,64
112,101,26,23,9,11,32,43,14,27,32,11,22,9,13,11,14,5,23,14,10,4,16,24,30,71,40,80
93,79,19,15,5,1,29,26,18,20,17,17,17,12,7,8,6,5,17,9,8,3,13,15,26,56,29,61
112,96,27,14,8,1,30,27,22,31,31,36,24,26,12,12,9,10,23,12,12,6,15,18,26,57,26,60
90,78,21,12,4,0,34,34,19,17,17,22,13,15,11,11,5,5,11,18,3,3,10,13,34,72,27,59
105,101,22,19,7,6,42,38,15,23,18,17,15,13,10,6,5,10,31,31,8,12,16,15,33,64,26,63
109,99,25,25,2,8,25,27,21,20,25,25,20,18,7,4,5,2,15,5,9,1,4,12,31,63,39,63
106,95,25,21,10,3,29,27,18,16,18,14,14,11,11,18,9,5,29,31,10,12,12,16,31,55,24,56
100,106,22,18,15,6,27,31,21,22,27,30,21,27,16,12,5,7,20,11,5,5,16,12,32,67,32,71
108,104,27,23,4,2,25,21,24,24,19,33,15,25,14,10,3,9,17,12,7,3,15,17,36,68,35,61
104,106,25,19,5,5,27,33,30,18,23,39,15,28,13,13,12,6,22,15,7,8,15,18,34,69,27,63
98,90,20,23,8,3,31,23,24,22,21,28,16,20,14,7,8,9,12,13,4,4,18,13,35,65,29,58
79,90,16,19,4,4,34,39,15,17,13,11,8,10,5,11,6,3,10,16,3,6,7,9,31,73,31,71
98,105,18,24,4,4,30,29,17,23,26,14,21,10,15,5,10,8,25,26,7,11,16,18,28,63,31,55
100,123,21,28,7,9,21,31,23,22,19,29,11,26,20,8,7,6,26,13,7,7,16,13,34,69,38,66
81,74,13,12,5,5,34,26,24,23,25,25,16,17,14,12,7,4,10,13,5,3,19,16,25,63,24,62
82,90,22,22,2,8,25,29,27,23,19,31,18,22,14,10,5,12,21,10,6,2,17,13,23,57,31,63
103,98,24,18,2,7,28,26,20,19,24,22,19,16,13,14,6,9,18,9,8,4,14,13,30,61,35,71
103,108,19,24,5,1,28,25,26,27,38,31,31,22,7,7,7,5,6,17,2,8,14,9,33,66,31,57
141,147,36,24,6,2,32,36,36,26,30,60,24,47,12,9,6,5,44,22,19,12,14,9,30,56,32,65
94,104,18,22,5,7,26,26,36,35,42,35,34,25,14,14,11,5,21,12,6,5,18,19,21,53,32,68
97,93,17,18,4,5,28,25,18,22,24,19,18,16,26,7,6,6,11,9,5,3,12,14,32,83,34,65
120,115,28,23,8,2,33,30,24,27,37,25,28,22,17,8,7,3,20,24,10,9,14,17,31,67,33,59
134,126,25,25,5,5,32,32,31,30,42,36,33,29,8,12,12,6,21,18,11,9,16,22,34,67,35,73
101,99,21,16,11,4,24,22,19,23,22,19,17,14,11,11,5,6,22,14,8,7,13,15,30,55,32,65
91,109,16,22,2,4,24,32,17,25,32,19,24,16,18,7,4,8,8,22,1,9,13,10,32,75,33,58
97,96,17,17,9,4,40,34,25,23,27,31,19,23,23,15,10,6,18,19,4,7,20,17,33,76,26,71
105,97,30,23,1,6,40,35,21,20,31,19,23,11,18,6,10,8,22,29,6,10,13,17,32,73,28,55
117,108,20,25,7,5,41,31,21,34,44,18,34,12,14,19,3,11,13,33,3,8,17,10,37,71,36,79
94,89,24,18,5,9,30,29,26,19,19,22,13,14,7,6,9,10,9,19,3,3,18,19,36,69,33,57
115,98,26,15,7,1,38,34,22,19,30,23,25,20,5,11,4,6,15,12,6,2,10,11,36,67,36,83
121,95,30,25,4,5,34,28,20,21,25,24,21,18,9,6,6,6,22,18,14,7,10,11,29,60,28,59
95,96,17,18,8,2,29,25,23,22,27,25,21,20,11,14,8,11,21,16,6,4,20,19,28,51,32,67
96,98,26,20,9,2,30,28,21,22,24,32,19,26,14,8,3,5,1,17,1,8,9,10,37,83,24,58
106,112,23,28,6,4,24,24,32,30,44,42,33,26,13,11,15,13,10,15,3,8,19,23,32,65,31,55
111,109,24,27,6,5,37,30,21,30,34,15,23,13,14,14,5,9,13,20,4,6,15,12,38,77,39,86
86,83,16,12,5,5,26,24,28,24,25,38,17,29,13,14,8,10,10,9,3,6,19,19,30,63,18,56
113,111,24,22,5,1,30,26,28,28,37,42,28,34,6,16,4,9,15,16,7,7,18,14,32,53,28,67
93,101,24,22,5,5,22,32,21,23,24,23,18,20,11,8,9,2,14,18,5,7,11,15,30,62,30,56
105,98,30,13,5,2,24,22,21,28,27,15,19,13,8,8,8,9,26,13,12,7,16,13,25,41,32,62
95,103,21,23,3,8,18,24,30,20,10,34,7,29,10,15,8,6,9,14,4,4,15,17,38,73,31,59
94,111,25,22,3,6,24,25,19,15,16,19,13,11,9,11,6,6,11,17,3,8,11,12,36,68,38,64
89,87,14,16,8,6,28,25,15,17,21,20,18,19,13,11,9,11,9,16,3,6,14,14,31,69,25,58
71,87,15,18,4,5,30,37,17,16,22,20,15,15,13,13,6,5,11,8,2,2,9,10,25,68,33,72
119,126,28,20,2,2,29,31,28,23,26,39,21,27,12,20,9,10,22,22,8,11,15,17,37,69,33,67
101,89,26,23,3,6,27,31,27,30,33,31,24,22,16,8,11,5,12,11,3,5,13,19,34,72,26,58
83,98,16,28,2,6,25,27,18,20,23,20,20,13,11,7,3,6,13,8,5,3,15,9,24,59,38,68
90,100,23,25,8,7,26,26,23,22,22,22,18,11,11,19,7,11,10,21,4,9,19,19,30,64,31,67
100,97,20,17,3,5,38,30,23,23,29,23,20,19,19,7,6,6,18,26,6,10,14,10,31,66,24,54
103,92,16,21,2,1,37,25,31,24,31,26,23,21,20,11,2,6,16,18,6,3,15,10,31,68,31,65
108,117,19,18,6,8,31,24,28,26,37,37,28,28,15,13,7,11,10,24,2,9,17,13,37,72,31,59
115,83,25,16,4,2,34,29,20,19,21,27,16,25,10,4,5,7,27,9,15,2,10,12,27,55,26,59
95,99,22,28,5,4,25,38,17,24,25,24,20,19,10,7,5,2,19,24,5,12,5,18,30,65,22,47
96,101,23,28,6,7,31,39,21,20,31,29,17,21,17,12,11,7,30,14,7,4,13,20,29,67,34,72
78,97,18,24,4,7,25,31,22,21,20,21,14,17,8,7,10,10,15,17,6,4,17,13,23,57,34,57
139,144,34,13,7,0,34,39,22,26,28,29,22,26,12,9,2,9,43,19,13,10,12,11,39,62,44,82
107,113,24,20,10,2,36,27,20,28,36,24,27,19,10,14,2,8,16,18,4,6,16,9,34,60,38,79
100,101,21,18,8,1,34,26,23,29,32,15,26,12,12,7,3,9,17,8,2,3,21,15,34,64,40,81
115,104,28,28,4,4,36,26,19,25,34,20,24,16,6,16,7,10,20,29,5,10,14,12,38,58,29,64
115,76,25,22,9,5,42,33,19,24,32,15,23,9,7,15,13,4,13,16,6,3,11,19,37,69,29,74
86,83,17,18,5,4,28,29,19,23,29,27,16,20,23,10,7,6,9,8,2,3,16,16,32,76,27,61
97,100,17,24,10,0,21,27,27,20,30,35,27,31,7,14,6,9,26,13,10,3,18,12,20,37,30,63
105,92,25,20,9,6,41,34,20,18,23,17,17,11,8,19,8,7,21,27,8,7,15,15,32,61,30,72
77,112,11,33,1,7,22,29,16,13,10,17,10,12,15,3,6,11,11,16,5,12,15,12,26,72,32,54
71,78,16,12,7,4,33,36,23,24,19,22,11,14,8,14,5,5,17,6,6,2,18,12,21,53,29,73
108,81,26,15,16,4,27,23,21,28,39,22,30,14,11,24,8,4,15,7,6,1,7,14,30,58,32,84
93,98,10,20,4,3,27,29,21,23,26,30,22,23,13,10,4,8,21,13,11,7,15,16,19,54,27,57
98,77,25,19,13,4,33,31,11,20,29,11,23,7,10,12,9,8,12,13,3,2,13,20,33,65,32,68
110,97,20,24,2,5,34,27,21,22,21,16,19,13,11,7,5,7,12,15,7,4,16,12,35,70,36,71
101,85,22,16,10,2,39,22,23,28,33,24,26,18,6,9,10,7,16,23,7,5,17,15,27,50,26,56
102,92,21,18,5,4,32,29,20,28,34,27,25,22,12,7,8,5,14,10,5,2,11,15,31,63,32,62
97,84,20,17,4,5,34,27,22,23,24,27,18,18,9,16,6,8,16,11,5,4,14,14,32,60,27,65
116,105,25,21,5,12,33,30,17,32,43,27,29,17,20,18,10,10,13,13,7,4,14,16,33,77,38,80
81,76,14,17,6,7,38,35,19,21,25,21,20,14,15,13,13,12,20,23,3,8,17,21,26,63,19,52
92,91,20,18,4,2,26,32,25,24,28,37,25,28,8,5,8,5,21,9,7,3,12,13,23,51,27,56
107,114,24,19,5,5,26,31,17,22,28,14,21,13,14,9,3,7,29,11,10,1,11,11,28,55,49,77
110,87,29,8,4,5,32,29,20,20,13,22,13,16,7,16,9,13,18,12,9,1,17,17,35,64,34,75
102,94,26,23,4,2,31,29,23,12,16,28,11,15,5,11,5,5,13,20,7,5,13,13,35,64,32,61
100,98,26,18,0,4,37,27,28,20,30,33,21,26,12,8,6,10,10,16,3,4,22,13,35,65,30,63
116,97,25,16,7,2,32,28,17,21,32,26,23,19,7,15,6,12,28,7,13,2,19,15,27,45,36,79
116,101,24,21,5,7,25,31,25,23,24,37,20,32,9,12,13,7,18,12,10,3,14,25,33,70,30,59
107,114,19,17,4,1,30,32,33,25,31,48,24,35,15,4,9,5,20,16,5,7,11,17,34,71,29,52
109,103,23,27,7,4,31,25,19,32,38,21,26,13,14,14,8,7,15,24,5,12,13,15,34,66,27,61
100,77,23,14,11,2,33,29,29,29,35,33,25,24,12,13,11,6,7,14,3,7,10,17,33,64,16,58
96,112,27,27,5,2,27,28,23,21,25,19,14,15,12,17,4,7,21,16,4,9,13,12,35,60,35,74
76,89,16,13,4,8,27,33,21,16,15,24,11,18,12,12,16,13,17,6,3,3,22,19,28,62,31,72
101,76,26,17,6,3,33,24,24,17,23,25,19,18,7,8,8,4,16,3,6,0,6,13,32,61,29,70
151,145,24,22,5,6,36,29,29,40,63,36,48,30,11,27,4,6,17,25,5,7,17,10,44,70,47,98
93,106,18,22,6,5,22,27,25,24,31,27,22,24,14,7,8,10,6,16,1,6,16,15,34,73,32,60
71,96,19,23,3,6,24,40,17,20,23,21,20,18,8,14,14,13,16,25,3,12,14,24,21,57,21,49
100,97,21,23,3,2,29,28,19,24,20,22,13,18,9,8,3,7,11,15,5,5,12,11,36,68,32,63
100,85,18,16,8,8,32,27,17,22,30,26,25,19,16,14,6,3,14,13,5,4,12,10,30,66,27,64
101,99,21,24,2,2,26,32,22,27,29,21,23,16,15,5,12,3,19,14,8,9,18,21,27,66,28,58
112,98,16,23,1,10,31,26,22,24,32,25,26,18,15,7,7,12,14,14,4,4,22,19,37,70,34,68
106,83,19,18,8,4,35,30,25,27,28,32,20,19,12,9,9,10,18,12,6,4,13,17,34,62,26,59
133,124,26,16,5,11,44,43,32,30,38,36,33,27,20,13,6,8,22,18,6,5,15,17,41,90,41,82
109,99,26,14,7,1,26,25,26,26,27,36,14,29,14,19,8,5,22,14,11,2,17,19,31,62,32,70
102,93,19,20,8,6,31,25,26,17,30,33,26,26,7,9,6,8,10,15,4,3,17,11,32,63,29,61
81,91,14,22,10,3,28,29,20,21,21,17,14,15,13,11,10,7,16,21,3,8,17,16,29,56,26,52
99,89,25,13,6,3,41,33,20,23,23,19,18,16,6,13,8,9,10,26,5,7,17,14,33,71,26,63
92,93,15,24,8,6,39,29,21,19,22,24,16,19,16,13,4,13,13,21,6,6,19,12,29,70,28,63
97,107,24,24,3,3,27,35,18,23,21,18,18,13,13,3,9,8,26,14,9,8,18,20,26,60,35,58
94,68,18,13,2,1,37,27,24,26,29,30,15,18,9,10,7,5,18,11,7,0,9,14,29,53,25,61
108,86,25,11,9,3,27,32,17,18,11,21,10,15,11,20,4,6,28,13,12,3,10,16,31,59,31,78
101,82,26,18,8,3,45,28,21,19,22,21,16,17,11,10,8,8,8,17,3,3,20,14,38,74,28,71
95,98,15,22,4,4,29,27,28,19,19,35,13,23,8,8,5,8,20,7,10,3,15,8,26,54,33,67
110,100,28,21,9,5,26,26,24,25,35,30,27,23,16,18,8,5,23,15,7,5,13,18,31,60,31,67
112,111,18,23,4,1,28,21,22,32,41,25,33,19,9,10,6,9,11,13,3,8,16,13,35,59,34,68
119,102,32,21,3,6,33,28,17,17,15,18,12,13,16,16,4,4,31,22,9,7,6,10,40,69,34,71
103,96,24,16,5,5,28,27,16,19,23,15,15,10,18,19,7,4,7,15,0,8,12,19,44,82,31,71
110,104,19,25,4,6,33,32,23,25,26,30,24,23,8,8,7,13,21,27,10,9,21,18,28,58,27,51
96,86,24,16,6,6,32,26,19,25,22,23,16,12,12,9,6,9,7,15,2,4,13,11,37,70,31,61
119,96,23,17,7,4,36,31,23,26,39,31,33,20,11,18,14,7,25,31,10,8,15,20,28,59,26,61
97,68,23,17,4,7,36,26,17,27,33,17,27,15,10,7,7,4,13,16,4,7,8,15,29,61,16,51
94,80,23,13,6,1,32,35,23,25,24,29,19,22,6,8,5,4,12,10,5,2,9,15,30,67,26,59
100,92,28,26,1,4,25,22,25,20,16,25,12,21,11,8,7,6,21,11,8,3,14,15,32,55,31,58
102,113,19,28,6,8,26,36,23,28,40,38,26,31,12,9,5,5,17,12,4,8,9,13,32,65,29,62
90,80,22,18,16,2,30,23,24,22,21,25,20,19,8,15,7,6,11,15,4,3,19,13,29,54,26,69
104,94,23,21,4,4,35,29,21,21,24,30,16,24,13,14,5,8,24,14,10,6,11,9,29,58,26,67
85,89,17,23,6,8,30,37,21,23,30,21,24,16,7,12,12,7,10,26,1,5,16,21,29,70,29,55
101,108,21,30,5,3,32,30,17,15,18,23,16,19,12,4,6,6,15,22,1,9,14,9,41,70,31,58
111,109,21,22,5,5,24,35,24,22,30,23,21,18,20,10,8,4,31,16,14,9,10,17,24,60,32,63
95,81,20,19,4,3,32,27,20,25,27,19,19,17,14,8,8,10,9,14,2,6,17,20,35,71,23,60
101,95,22,13,4,6,32,26,21,19,18,21,17,17,5,13,9,14,9,17,4,4,19,17,36,65,33,71
96,102,25,25,4,3,26,24,28,16,11,27,8,18,10,14,5,4,19,7,10,4,16,11,29,56,36,74
81,89,16,13,1,1,29,32,23,22,25,27,20,23,9,10,9,6,17,4,5,2,16,16,23,55,30,69
96,97,21,24,4,3,40,27,20,19,22,25,18,18,9,11,6,9,12,23,4,7,20,10,33,65,29,64
82,78,16,14,8,4,33,36,17,26,34,20,21,17,11,9,12,8,18,19,7,5,14,17,20,57,23,54
89,97,18,17,4,2,42,33,20,16,15,31,11,20,7,13,3,10,17,29,6,9,16,6,30,59,25,57
112,100,23,17,4,4,24,24,19,18,17,28,16,17,6,17,11,8,15,14,6,5,11,19,39,65,34,65
91,86,19,17,3,5,20,19,22,24,24,22,18,15,18,9,8,8,10,7,3,1,18,18,32,64,34,62
112,88,15,15,4,5,37,22,21,30,43,25,34,16,21,8,5,4,23,16,8,8,7,6,27,57,24,60
97,108,20,27,7,5,32,30,21,22,30,30,21,24,16,15,3,15,29,8,10,2,22,12,23,56,39,82
104,107,20,21,3,4,31,29,23,16,23,35,19,26,8,11,6,10,19,13,5,5,15,14,35,62,33,66
144,135,38,33,11,7,34,27,17,26,35,24,26,21,16,15,6,6,22,46,12,18,10,12,41,73,30,55
95,110,23,24,5,5,22,31,16,23,16,21,12,16,13,7,6,6,22,5,7,2,11,15,31,65,44,71
98,87,29,15,3,2,27,29,25,25,37,24,29,20,13,6,10,8,11,5,3,1,13,22,30,65,32,62
98,100,21,29,4,10,29,35,19,18,17,18,12,16,15,7,13,9,19,25,10,10,15,18,28,71,27,55
103,96,20,20,1,2,27,27,16,14,15,25,12,17,14,5,4,6,21,21,7,7,8,8,35,67,29,51
103,101,26,16,7,7,33,28,23,20,29,25,28,21,8,11,1,6,8,20,1,6,10,4,36,69,31,67
81,99,17,20,7,5,25,35,22,17,23,34,19,21,6,16,5,7,12,12,2,2,11,11,28,59,36,65
108,105,32,26,5,6,32,28,15,12,12,17,7,12,16,12,10,12,25,27,9,7,17,17,37,68,36,62
68,92,13,17,3,3,31,42,20,13,9,23,6,18,14,8,6,7,14,10,4,4,13,13,25,74,31,66
128,132,21,23,1,4,25,35,38,42,58,44,43,31,11,16,7,4,17,23,3,9,11,19,38,67,37,65
100,91,13,17,4,7,27,34,23,21,24,24,20,19,11,16,11,6,8,14,4,2,12,18,34,74,33,67
86,95,19,27,7,8,30,29,20,21,29,24,18,16,9,18,6,4,18,18,6,7,10,9,25,57,29,69
119,128,32,25,9,4,26,22,23,26,29,39,23,27,7,10,4,9,20,15,6,9,19,15,39,60,37,65
123,104,39,24,8,2,34,32,15,17,22,24,16,19,14,17,7,12,28,16,13,7,13,14,34,68,32,76
106,74,22,15,7,3,38,20,24,23,30,23,19,16,7,16,8,6,15,24,9,8,20,11,30,53,17,62
91,86,21,26,2,5,36,34,21,35,44,24,31,13,15,7,13,8,23,17,6,5,19,19,21,51,29,60
105,94,23,12,3,2,23,21,25,25,27,31,18,27,13,7,7,8,16,10,7,3,14,12,33,57,29,54
100,86,17,25,2,5,34,34,25,25,27,23,21,17,14,9,7,1,30,16,11,5,7,13,23,52,27,64
85,90,13,16,7,4,25,31,17,25,31,20,21,16,8,10,5,5,12,14,4,4,10,10,26,56,31,63
108,80,20,17,1,1,27,32,17,19,29,20,25,17,8,6,8,3,20,14,11,5,6,19,25,56,24,52
93,111,23,20,4,5,21,26,24,19,25,23,19,19,16,17,6,3,14,19,2,10,7,14,34,69,31,61
104,102,27,24,3,5,31,30,18,16,16,23,13,21,12,12,7,6,16,9,5,3,16,14,38,76,36,79
116,105,26,19,11,4,29,35,22,16,20,30,15,25,7,16,14,8,23,11,5,4,11,20,43,70,34,76
106,89,28,18,9,11,34,25,25,20,29,33,21,23,12,20,7,6,17,10,7,4,15,13,32,63,27,79
96,91,21,17,5,6,29,33,21,24,26,19,17,14,14,7,7,5,13,22,5,7,11,16,32,70,28,52
86,74,16,13,1,1,30,27,24,22,29,22,21,15,12,14,9,4,10,9,3,3,10,19,28,63,25,61
93,100,18,13,4,4,26,27,29,28,30,32,22,28,11,10,6,6,13,18,5,6,14,16,28,59,27,52
105,110,19,14,5,6,33,34,27,26,31,34,22,30,9,10,8,7,18,28,9,8,15,17,28,65,28,60
84,96,16,26,4,4,31,32,19,26,31,17,21,14,13,13,7,9,26,16,5,6,18,18,24,49,32,67
108,104,23,27,5,4,29,35,19,33,34,23,18,18,15,11,5,9,22,28,6,12,14,20,36,62,25,50
96,110,17,27,6,2,27,35,21,22,26,26,20,20,9,4,10,13,17,29,4,14,14,15,32,61,24,47
101,98,26,16,6,6,33,27,20,21,23,21,17,15,2,14,4,9,13,20,6,7,13,9,33,58,31,70
87,79,15,9,7,6,38,25,26,31,45,34,32,29,13,6,9,10,5,18,1,4,21,17,26,67,19,55
116,111,27,19,3,2,30,29,25,24,22,41,16,31,12,11,7,1,17,26,6,10,9,11,41,75,25,54
128,105,34,10,5,4,35,36,24,22,13,35,8,27,11,14,11,8,32,15,12,4,15,25,42,72,33,70
